StockName;Date;open;high;low;close;change;changePer;Volume;TradesNum
Al Rajhi Bank;31/10/21;138.6;140;138.6;139;0.4;0.29;1,686,212;3,640
Al Rajhi Bank;28/10/21;138.8;140;136.8;138.6;-0.2;-0.14;3,793,965;8,647
Al Rajhi Bank;27/10/21;139.2;140.2;138.6;138.8;-0.4;-0.29;2,270,175;5,750
Al Rajhi Bank;26/10/21;140;141;139.2;139.2;-0.8;-0.57;2,742,541;5,692
Al Rajhi Bank;25/10/21;137.8;140.6;135.2;140;2.2;1.6;2,285,307;7,643
Al Rajhi Bank;24/10/21;142;142;137.4;137.8;-4.2;-2.96;3,857,928;10,842
Al Rajhi Bank;21/10/21;142;142.8;141;142;0.8;0.57;2,848,752;6,466
Al Rajhi Bank;20/10/21;139.2;141.8;138.4;141.2;2.2;1.58;3,716,279;8,887
Al Rajhi Bank;19/10/21;135.2;139;135.2;139;4.2;3.12;3,661,023;8,302
Al Rajhi Bank;18/10/21;134.6;135.6;134.2;134.8;0.2;0.15;1,626,648;4,750
Al Rajhi Bank;17/10/21;135;135.8;134.6;134.6;0.2;0.15;1,559,708;3,750
Al Rajhi Bank;14/10/21;134.6;134.8;133.8;134.4;-0.2;-0.15;2,011,096;4,455
Al Rajhi Bank;13/10/21;134.8;135;133.8;134.6;-0.4;-0.3;1,722,403;4,621
Al Rajhi Bank;12/10/21;135;135.4;133.4;135;1;0.75;2,125,828;5,365
Al Rajhi Bank;11/10/21;135;136.8;133.2;134;-0.2;-0.15;4,512,535;10,492
Al Rajhi Bank;10/10/21;130.8;135.2;130.6;134.2;3.8;2.91;4,079,692;8,373
Al Rajhi Bank;07/10/21;129.2;130.6;129.2;130.4;1.2;0.93;2,659,182;5,996
Al Rajhi Bank;06/10/21;129;131;128.8;129.2;1;0.78;4,227,616;9,668
Al Rajhi Bank;05/10/21;125.4;129;125.4;128.2;2.8;2.23;4,232,882;9,377
Al Rajhi Bank;04/10/21;123.4;126.4;123.4;125.4;2;1.62;6,468,450;11,464
Al Rajhi Bank;03/10/21;122.4;124.4;122;123.4;0.8;0.65;3,309,032;6,319
Al Rajhi Bank;30/09/21;121;122.8;120.8;122.6;1.6;1.32;3,785,508;8,568
Al Rajhi Bank;29/09/21;121;121.6;120.4;121;-0.4;-0.33;1,902,554;4,296
Al Rajhi Bank;28/09/21;121.4;122.4;120.8;121.4;0;0;2,377,092;5,548
Al Rajhi Bank;27/09/21;121.8;122;121;121.4;-0.4;-0.33;2,169,766;6,257
Al Rajhi Bank;26/09/21;122;122.2;121.2;121.8;0.8;0.66;1,541,492;2,650
Al Rajhi Bank;22/09/21;121.4;122.4;121;121;-1.2;-0.98;1,506,270;2,971
